98 100
93 60 66
36 39 15
65 97 5
94 96 33
94 48 94
97 38 72
26 30 94
79 21 62
88 94 45
14 9 42
9 56 73
80 94 99
23 10 9
13 86 60
21 1 87
56 46 11
78 57 19
17 9 44
21 9 26
75 84 8
64 81 30
50 12 86
9 70 25
71 85 25
88 9 22
90 23 14
45 1 68
97 74 55
1 13 77
73 48 43
9 88 93
30 88 79
72 4 11
70 83 87
23 56 13
51 6 16
62 9 48
53 16 83
20 12 35
35 52 77
42 72 76
43 41 3
37 71 27
91 21 87
82 21 31
9 89 8
8 34 71
65 18 41
5 31 90
9 50 86
60 92 82
53 2 12
35 9 41
13 18 70
1 9 9
5 28 20
22 59 65
5 51 23
25 54 58
55 3 26
14 33 61
41 1 42
89 44 93
13 34 63
25 15 50
63 72 2
94 58 6
8 29 9
85 14 92
82 68 49
31 27 96
12 87 18
78 54 78
36 72 91
7 31 76
4 86 13
76 12 79
81 14 41
59 62 17
92 25 73
49 86 1
92 35 59
53 24 23
67 62 65
84 68 49
31 88 17
62 47 53
55 21 78
19 87 50
77 25 16
40 64 76
85 32 7
11 1 17
2 15 95
27 88 61
34 95 94
69 85 77
98 60 76
19 61 17
59 66 4
23 67
5 6 5
7 19 82
15 19 27
11 8 88
22 15 74
4 17 28
2 22 76
20 4 69
16 18 43
17 21 10
14 2 62
21 19 16
3 12 99
6 8 66
7 23 34
3 19 88
14 8 42
22 3 23
15 12 15
2 5 49
13 2 2
11 12 1
11 3 8
7 12 47
2 4 53
3 13 76
12 9 54
3 21 20
3 22 91
19 5 91
2 17 91
19 11 92
4 7 90
1 2 48
21 12 5
18 20 29
20 16 70
13 3 81
3 11 60
15 23 69
4 9 63
13 9 24
22 13 8
2 19 4
23 10 51
14 3 4
11 15 36
12 21 26
23 1 56
22 11 32
3 22 40
9 19 7
5 22 62
6 17 8
19 15 28
18 23 22
11 22 96
2 10 47
5 15 23
19 8 53
8 7 82
13 6 81
19 17 1
3 17 19
2 11 67
3 21 39
15 20 66
80 100
42 74 64
18 78 4
74 41 100
47 54 100
24 51 16
42 48 45
27 26 60
71 80 92
53 45 31
14 25 88
56 74 4
69 51 92
53 27 36
41 42 82
74 45 46
74 55 41
51 9 64
45 68 20
45 61 63
52 10 38
67 72 47
74 41 77
50 44 50
42 73 40
7 70 98
80 31 87
49 42 50
52 29 86
3 5 9
53 28 12
25 19 76
37 47 7
26 12 17
35 26 17
41 55 85
26 6 46
54 15 66
64 55 42
37 34 55
61 80 49
16 55 49
34 42 45
79 59 78
36 59 45
27 42 64
17 77 38
66 6 88
40 22 11
61 4 1
54 14 58
62 35 28
41 27 75
48 58 47
13 23 36
23 77 87
52 26 35
37 57 16
42 33 30
47 1 37
27 15 30
76 74 92
75 5 7
46 27 69
60 30 11
43 24 4
74 45 54
27 55 60
42 38 5
66 65 98
77 15 87
42 34 34
14 40 45
64 15 31
41 45 24
59 64 88
67 33 41
5 74 66
63 17 91
54 44 5
18 13 47
41 54 89
37 21 16
42 14 48
54 41 98
39 57 92
45 69 42
55 15 49
57 70 82
41 15 7
41 15 1
74 54 16
11 28 45
64 55 1
32 48 54
54 74 39
34 20 1
60 75 45
8 35 89
54 53 40
34 2 86
58 100
38 53 19
32 13 78
28 41 88
35 53 70
2 32 21
45 37 97
32 28 19
35 49 80
32 49 29
32 39 62
49 12 82
12 44 92
52 28 41
36 42 63
32 21 82
53 7 46
57 13 83
